Chamber,Carbon,Mutualist,Shoot_biomass_g,Root_biomass_g,AMF_colonization_percent,nod_number
1,400,control,0.32,0.089,10,0
1,400,control,0.325,0.07,9,0
1,400,control,0.35,0.115,11,0
1,400,control,0.3487,0.09,8,0
1,400,control,0.384,0.11,9,0
1,400,control,0.325,0.099,8,0
1,400,control,0.295,0.09,8,1
1,400,control,0.4,0.1,10,0
1,400,control,0.345,0.0879,8,0
1,400,control,0.3425,0.0049,8,0
1,400,control,0.39,0.089,14,0
1,400,control,0.4012,0.072,12,0
2,400,control,0.337,0.005,10,0
2,400,control,0.358,0.104,11,0
2,400,control,0.351,0.19,8,1
2,400,control,0.374,0.0897,8,0
2,400,control,0.305,0.166,8,0
2,400,control,0.45,0.0768,10,0
2,400,control,0.45,0.00779,9,0
2,400,control,0.31,0.089,10,0
2,400,control,0.3895,0.055,12,0
2,400,control,0.3333,0.08,8,0
2,400,control,0.326,0.088,9,0
2,400,control,0.314,0.0625,9,0
3,400,control,0.288,0.095,10,0
3,400,control,0.397,0.078,9,0
3,400,control,0.323,0.073,8,0
3,400,control,0.311,0.15,8,0
3,400,control,0.3635,0.119,9,0
3,400,control,0.399,0.09,10,0
3,400,control,0.325,0.055,8,0
3,400,control,0.375,0.09,7,1
3,400,control,0.341,0.0861,8,0
3,400,control,0.327,0.0877,10,0
3,400,control,0.366,0.19,8,0
3,400,control,0.3562,0.099,10,0
1,400,Rh,0.67,0.091,18,4
1,400,Rh,0.299,0.5,22,4
1,400,Rh,0.476,0.105,24,3
1,400,Rh,0.855,0.104,25,4
1,400,Rh,0.47,0.46,20,5
1,400,Rh,0.492,0.5,21,4
1,400,Rh,0.77,0.1,22,3
1,400,Rh,0.652,0.11,22,4
1,400,Rh,0.66,0.1,26,4
1,400,Rh,0.274,0.077,22,3
1,400,Rh,0.33,0.14,20,4
1,400,Rh,0.489,0.087,22,2
2,400,Rh,0.438,0.12,18,5
2,400,Rh,0.442,0.11,22,3
2,400,Rh,0.55,0.1,22,3
2,400,Rh,0.402,0.09,22,4
2,400,Rh,0.4,0.09,20,4
2,400,Rh,0.397,0.086,22,2
2,400,Rh,0.451,0.08,21,4
2,400,Rh,0.455,0.14,15,4
2,400,Rh,0.5,0.087,25,5
2,400,Rh,0.378,0.088,28,4
2,400,Rh,0.554,0.067,22,2
2,400,Rh,0.346,0.094,21,4
3,400,Rh,0.331,0.11,22,5
3,400,Rh,0.49,0.105,20,4
3,400,Rh,0.5,0.125,28,4
3,400,Rh,0.355,0.1,18,5
3,400,Rh,0.397,0.07,15,6
3,400,Rh,0.436,0.095,14,3
3,400,Rh,0.487,0.099,20,5
3,400,Rh,0.491,0.098,28,4
3,400,Rh,0.49,0.143,25,2
3,400,Rh,0.475,0.13,22,4
3,400,Rh,0.47,0.1,25,4
3,400,Rh,0.478,0.088,24,3
1,400,A,0.511,0.44,40,0
1,400,A,0.5,0.2,38,0
1,400,A,0.65,0.41,42,0
1,400,A,0.56,0.18,45,0
1,400,A,0.42,0.22,38,0
1,400,A,0.49,0.27,41,0
1,400,A,0.5,0.278,42,0
1,400,A,0.52,0.3,40,0
1,400,A,0.488,0.187,38,0
1,400,A,0.47,0.266,38,0
1,400,A,0.54,0.25,38,0
1,400,A,0.5,0.245,38,0
2,400,A,0.5,0.5,38,0
2,400,A,0.49,0.287,40,0
2,400,A,0.512,0.3147,42,0
2,400,A,0.455,0.28,42,0
2,400,A,0.5,0.26,40,0
2,400,A,0.511,0.2,42,0
2,400,A,0.51,0.25,43,0
2,400,A,0.5,0.455,39,0
2,400,A,0.5,0.255,39,0
2,400,A,0.61,0.202,42,0
2,400,A,0.6,0.27,38,0
2,400,A,0.66,0.285,36,0
3,400,A,0.5,0.2145,39,0
3,400,A,0.52,0.22,38,0
3,400,A,0.57,0.2,36,0
3,400,A,0.5,0.18,40,0
3,400,A,0.55,0.24,42,0
